映画タイトル,感想,評価,泣ける,笑える,勉強,キュキュン,怖い,ワクワク,ハラハラ,わかち書き
ザリガニの鳴くところ,サスペンスとうたっているがほぼほぼ恋愛シーンの回想で埋まっているため見る人を選ぶ。私は結末も後味が悪かった,1,1,1,1,2,1,1,1,サスペンス と うたう て いる が ほぼ ほぼ 恋愛 シーン の 回想 で 埋まる て いる ため 見る 人 を 選ぶ 。 私 は 結末 も 後味 が 悪い た
純と愛（朝ドラ）,はなしがつまらなかった。起承転結すべてが中途半端だった。,1,2,2,1,2,1,1,1,はなし が つまる ない た 。 起承転結 すべて が 中途半端 だ た 。
かぐや様は告らせたい　実写,漫画原作の実写はだいたいダメ。映画オリジナルストーリーは良くない。,2,1,4,1,2,1,1,1,漫画 原作 の 実写 は だいたい ダメ 。 映画 オリジナル ストーリー は 良い ない 。
Free~Final Stroke~,Free!!シリーズで計５作を映画化している人気水泳アニメシリーズであり、スポコン好きにはたまらない。登場人物たちの進路の結末は何回見ても泣いてる,5,5,4,1,3,1,4,4,Free ! ! シリーズ で 計 5 作 を 映画化 する て いる 人気 水泳 アニメ シリーズ だ ある 、 スポコン 好き だ は たまる ない 。 登場 人物 たち の 進路 の 結末 は 何回 見る て も 泣く てる
竜とそばかすの姫,面白くない。眠くなる。歌は良かった。,1,1,1,2,1,1,1,1,面白い ない 。 眠い なる 。 歌 は 良い た 。
ミスぺレグリンと奇妙な子供たち,何度でも見たい,1,1,2,1,3,5,5,5,何度 で も 見る たい
カインとアベル（ドラマ）,話が面白くなかった。俳優の無駄遣い,1,1,1,1,2,1,1,3,話 が 面白い ない た 。 俳優 の 無駄遣い
浅田家,震災を題材としており、思い出の海が大切な人を奪っていったという内容に涙止まらなかったです。,4,5,1,2,1,2,1,1,震災 を 題材 と する て おる 、 思い出 の 海 が 大切 だ 人 を 奪う て いく た と いう 内容 に 涙 止まる ない た です 。
チャーリーとチョコレート工場,工場の中がすべてお菓子で作られていてとても美味しそう。かわいい。,5,1,3,1,1,1,4,2,工場 の 中 が すべて お菓子 で 作る れる て いる て とても 美味しい そう 。 かわいい 。
厨房のありす,知的障がい者の勉強にもなる。永瀬連がかっこいい,4,3,4,4,5,2,3,2,知的 障がい者 の 勉強 に も なる 。 永瀬 連 が かっこいい
リトルマーメイド(実写),CGをたくさん使っていてちょっと違和感がたくさんあったけどそれもそれで面白かった。なにより歌がいいですね,5,3,2,1,2,1,3,2,CG を たくさん 使う て いる て ちょっと 違和感 が たくさん ある た けど それ も それ で 面白い た 。 なに より 歌 が いい です ね
ハリーポッターシリーズ,やっぱ魔法が使える世界って憧れますよね,5,1,2,3,1,2,4,3,やっぱ 魔法 が 使える 世界 って 憧れる ます よ ね
キャラクター,深瀬さんが奇妙で最高に怖かった。でもすごくおもしろかった。,5,1,1,1,2,5,3,5,深瀬 さん が 奇妙 だ 最高 だ 怖い た 。 で も すごい おもしろい た 。
言の葉の庭　　　,しんかいまっことの名作、新宿御苑すこ,5,3,1,4,3,1,3,3,しんかい まつ こと の 名作 、 新宿御苑 すく
すずめの戸締り,世間からの評価は高いが、ラストが腑に落ちなかった。作画は良かった。,1,2,2,2,1,1,3,3,世間 から の 評価 は 高い が 、 ラスト が 腑 に 落ちる ない た 。 作画 は 良い た 。
妖怪ウォッチFOREVER FRIENDS,他の映画と話が繋がっていて面白かった。キャラの情報量が途中から多すぎた感あり,5,4,3,1,1,1,5,2,他 の 映画 と 話 が 繋がる て いる て 面白い た 。 キャラ の 情報量 が 途中 から 多い すぎる た 感 あり
となりのトトロ,もっとも有名ともいえるジブリ作品ですが、3歳ごろまで毎日見るぐらい好きでいまだにセリフ言えるのでは、って程見てます。いつ見ても最後まで見たくなる作品です。,5,4,2,1,1,1,3,1,もっとも 有名 と も いえる ジブリ 作品 です が 、 3 歳 ごろ まで 毎日 見る ぐらい 好き だ いまだ に セリフ 言える の だ は 、 って 程 見る てる ます 。 いつ 見る て も 最後 まで 見る たい なる 作品 です 。
らくだい魔女　フウカと闇の魔女,昔読んでいた人は懐かしい気持ちになると思います。作画も声もよかった。,4,1,3,1,4,2,3,3,昔 読む で いる た 人 は 懐かしい 気持ち に なる と 思う ます 。 作画 も 声 も よい た 。
ハニーレモンソーダ,原作が好きだから最後まで見れなかった。,2,1,1,1,2,1,1,1,原作 が 好き だ から 最後 まで 見れる ない た 。
チアダン,おもしろい。すごい。広瀬すずがかわいい。,5,5,1,3,1,1,4,3,おもしろい 。 すごい 。 広瀬 すず が かわいい 。
劇場版ラジエーションハウス,ドラマが好きで見に行ったが、いまいちだった。,2,3,3,5,2,3,3,2,ドラマ が 好き だ 見る に 行く た が 、 いまいち だ た 。
僕が愛したすべての君へ,君を愛した1人の僕へとつながってる,5,3,2,4,3,1,5,5,君 を 愛する た 1人 の 僕 へ と つながる てる
君を愛した1人の僕へ,僕が愛したすべての君へとつながってる,5,3,2,4,2,1,5,5,僕 が 愛する た すべて の 君 へ と つながる てる
タイタニック,何回見ても泣ける,5,5,4,3,4,4,5,5,何回 見る て も 泣ける
